config_id,folder,scenario,K,algo,total_budget,alpha,gamma,episode_keep,use_class_impl,n_seeds,acc_mean,acc_std,fallback_rate,error_rate,wall_time_total_sec,per_seed_csv
fusing_bump_K32_FSH_a0.000_g0.650_k0.883_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p650_k0p883_impl1,fusing_bump,32,FSH,6000,0.0,0.6499999999999999,0.8833333333333333,True,1000,0.56,0.49663532561291784,0.0,0.0,115.65944743156433,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p650_k0p883_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.650_k1.000_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p650_k1p000_impl1,fusing_bump,32,FSH,6000,0.0,0.6499999999999999,1.0,True,1000,0.56,0.49663532561291784,0.0,0.0,124.13184809684753,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p650_k1p000_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.767_k0.300_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p300_impl1,fusing_bump,32,FSH,6000,0.0,0.7666666666666666,0.3,True,1000,0.609,0.4882185549089235,0.0,0.0,71.49873661994934,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p300_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.767_k0.417_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p417_impl1,fusing_bump,32,FSH,6000,0.0,0.7666666666666666,0.41666666666666663,True,1000,0.693,0.4614801880514058,0.0,0.0,96.10879874229431,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p417_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.767_k0.533_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p533_impl1,fusing_bump,32,FSH,6000,0.0,0.7666666666666666,0.5333333333333333,True,1000,0.763,0.425455064621415,0.0,0.0,123.12957859039307,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p533_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.767_k0.650_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p650_impl1,fusing_bump,32,FSH,6000,0.0,0.7666666666666666,0.6499999999999999,True,1000,0.588,0.4924413655436545,0.0,0.0,125.9581093788147,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p650_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.767_k0.767_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p767_impl1,fusing_bump,32,FSH,6000,0.0,0.7666666666666666,0.7666666666666666,True,1000,0.493,0.5002011607355609,0.0,0.0,125.4149112701416,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p767_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.767_k0.883_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p883_impl1,fusing_bump,32,FSH,6000,0.0,0.7666666666666666,0.8833333333333333,True,1000,0.5,0.5002501876563868,0.0,0.0,126.69289803504944,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k0p883_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.767_k1.000_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k1p000_impl1,fusing_bump,32,FSH,6000,0.0,0.7666666666666666,1.0,True,1000,0.5,0.5002501876563868,0.0,0.0,125.56047129631042,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p767_k1p000_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.883_k0.300_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p883_k0p300_impl1,fusing_bump,32,FSH,6000,0.0,0.8833333333333333,0.3,True,1000,0.649,0.4775217555536333,0.0,0.0,79.82597875595093,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p883_k0p300_impl1\per_seed.csv
