zeta,alpha0_nearest_c1_d1,alpha0_theory_c1_d1,alpha0_nearest_c1_d1.5,alpha0_theory_c1_d1.5,alpha0_nearest_c1_d2,alpha0_theory_c1_d2,alpha0_nearest_c1.5_d1,alpha0_theory_c1.5_d1,alpha0_nearest_c1.5_d1.5,alpha0_theory_c1.5_d1.5,alpha0_nearest_c1.5_d2,alpha0_theory_c1.5_d2,alpha0_nearest_c2_d1,alpha0_theory_c2_d1,alpha0_nearest_c2_d1.5,alpha0_theory_c2_d1.5,alpha0_nearest_c2_d2,alpha0_theory_c2_d2
0.475,0.05,0.04881026878865824,0.2,0.20266443123707534,0.2875,0.2836148066143618,0.0375,0.03900822297084394,0.175,0.17420970936118652,0.25,0.2546076086529929,0.0375,0.03244794448001731,0.15,0.15209198572015337,0.225,0.22989961340907983
0.5,0.0,0.0,0.175,0.17712434446770464,0.2625,0.2679491924311228,0.0,0.0,0.15,0.15287291161696348,0.2375,0.24169426078820833,0.0,0.0,0.1375,0.1339745962155614,0.225,0.21922359359558485
0.525,0.0,0.0,0.15,0.15145478821324876,0.25,0.252661483494943,0.0,0.0,0.1375,0.13125544147649482,0.225,0.2289878151429282,0.0,0.0,0.1125,0.11547008948016946,0.2125,0.20862562353811465
0.55,0.0,0.0,0.125,0.12558422698656246,0.2375,0.23771432227869416,0.0,0.0,0.1125,0.10929108367480522,0.2125,0.21646185165107557,0.0,0.0,0.1,0.09651797213155167,0.2,0.19808769914120428
0.575,0.0,0.0,0.1,0.09944039782888103,0.225,0.2230744717374502,0.0,0.0,0.0875,0.08691008804261313,0.2,0.20409229944221563,0.0,0.0,0.075,0.0770521507252302,0.1875,0.18759273344074423
0.6,0.0,0.0,0.075,0.07294901687515776,0.2125,0.20871215252207986,0.0,0.0,0.0625,0.06403781568934852,0.1875,0.1918570330339825,0.0,0.0,0.0625,0.0569995318353087,0.175,0.17712434446770475
0.625,0.0,0.0,0.05,0.046032450872732,0.2,0.1946005043014456,0.0,0.0,0.0375,0.040593211165378285,0.175,0.17973553619237892,0.0,0.0,0.0375,0.03627833614578879,0.1625,0.16666666666666663
0.65,0.0,0.0,0.0125,0.01860829183986612,0.175,0.18071514354354368,0.0,0.0,0.0125,0.01648702063670482,0.1625,0.16770861831993578,0.0,0.0,0.0125,0.014796026875238288,0.15,0.15620417957520594
0.675,0.0,0.0,0.0,0.0,0.1625,0.1670337970188096,0.0,0.0,0.0,0.0,0.15,0.15575817176155837,0.0,0.0,0.0,0.0,0.15,0.14572154851906016
0.7,0.0,0.0,0.0,0.0,0.15,0.1535359952768478,0.0,0.0,0.0,0.0,0.15,0.1438669609803611,0.0,0.0,0.0,0.0,0.1375,0.13520347279733747
0.725,0.0,0.0,0.0,0.0,0.1375,0.1402028139946525,0.0,0.0,0.0,0.0,0.1375,0.13201843642916755,0.0,0.0,0.0,0.0,0.125,0.12463453729106222
0.75,0.0,0.0,0.0,0.0,0.125,0.12701665379258298,0.0,0.0,0.0,0.0,0.125,0.12019656731671569,0.0,0.0,0.0,0.0,0.1125,0.1139990636706174
0.775,0.0,0.0,0.0,0.0,0.1125,0.11396105113220534,0.0,0.0,0.0,0.0,0.1125,0.10838568847078489,0.0,0.0,0.0,0.0,0.1,0.10328095742704302
0.8,0.0,0.0,0.0,0.0,0.1,0.10102051443364424,0.0,0.0,0.0,0.0,0.1,0.09657035722297691,0.0,0.0,0.0,0.0,0.0875,0.0924635468163375
0.825,0.0,0.0,0.0,0.0,0.0875,0.08818038070993861,0.0,0.0,0.0,0.0,0.0875,0.08473521674303142,0.0,0.0,0.0,0.0,0.0875,0.08152940947742904
0.85,0.0,0.0,0.0,0.0,0.075,0.07542668890493687,0.0,0.0,0.0,0.0,0.075,0.07286486257570601,0.0,0.0,0.0,0.0,0.075,0.07046018194033454
0.875,0.0,0.0,0.0,0.0,0.0625,0.06274606680622785,0.0,0.0,0.0,0.0,0.0625,0.06094370930642634,0.0,0.0,0.0,0.0,0.0625,0.05923634643994724
0.9,0.0,0.0,0.0,0.0,0.05,0.05012562893380057,0.0,0.0,0.0,0.0,0.05,0.04895585431746008,0.0,0.0,0.0,0.0,0.05,0.04783698832879768
0.925,0.0,0.0,0.0,0.0,0.0375,0.03755288321391248,0.0,0.0,0.0,0.0,0.0375,0.0368849354981613,0.0,0.0,0.0,0.0,0.0375,0.03623951584399521
0.95,0.0,0.0,0.0,0.0,0.025,0.02501564456182237,0.0,0.0,0.0,0.0,0.025,0.024713979535228248,0.0,0.0,0.0,0.0,0.025,0.024419331891220253
0.975,0.0,0.0,0.0,0.0,0.0125,0.012501953735586824,0.0,0.0,0.0,0.0,0.0125,0.012425237015804669,0.0,0.0,0.0,0.0,0.0125,0.012349444661321485
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
