seed,env_seed,algo_seed,perm,best_arm,final_arm,correct,wall_time_sec,spent_budget,duels,rewards,rounds_executed,seed_md
502,12847,68392,"12,7,6,9,15,4,14,3,2,8,11,0,1,10,13,5",11,11,1,1.2258691787719727,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_502.md
503,12848,68393,"0,3,11,7,1,10,15,4,6,13,8,2,14,5,9,12",0,0,1,1.0434789657592773,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_503.md
504,12849,68394,"7,14,5,11,3,13,8,9,4,15,2,10,1,6,12,0",15,15,1,1.1726021766662598,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_504.md
505,12850,68395,"12,5,15,9,11,1,7,8,14,2,3,10,6,13,4,0",15,15,1,1.2476744651794434,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_505.md
506,12851,68396,"6,11,9,15,8,4,14,1,10,2,0,12,5,13,3,7",10,10,1,1.2361257076263428,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_506.md
507,12852,68397,"14,2,1,5,9,10,3,8,4,0,12,15,13,11,7,6",9,9,1,1.1917972564697266,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_507.md
508,12853,68398,"9,2,13,5,14,6,0,3,7,11,12,1,4,8,10,15",6,6,1,1.208308219909668,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_508.md
509,12854,68399,"2,14,13,15,7,10,1,3,8,11,0,6,12,4,5,9",10,10,1,1.2359106540679932,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_509.md
510,12855,68400,"15,8,10,0,14,2,6,13,4,3,1,11,12,7,9,5",3,3,1,1.1624886989593506,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_510.md
511,12856,68401,"8,4,15,6,11,0,12,7,1,14,5,2,9,10,3,13",5,5,1,1.0859217643737793,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_511.md
512,12857,68402,"6,10,3,7,5,12,2,15,11,8,1,0,14,9,13,4",11,11,1,1.069312572479248,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_512.md
513,12858,68403,"8,5,4,3,11,6,0,15,7,9,13,2,12,14,10,1",6,6,1,1.286147117614746,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_513.md
514,12859,68404,"14,4,6,11,2,5,3,8,0,1,12,13,15,7,9,10",8,8,1,1.1647155284881592,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_514.md
515,12860,68405,"2,1,10,12,7,4,15,0,11,9,3,13,5,8,14,6",7,7,1,1.0465750694274902,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_515.md
516,12861,68406,"13,2,4,7,10,15,11,14,8,3,5,1,6,9,12,0",15,15,1,1.1791303157806396,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_516.md
517,12862,68407,"13,9,10,14,11,7,8,2,5,6,3,0,4,1,12,15",11,11,1,1.2827470302581787,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_517.md
518,12863,68408,"5,2,14,13,0,4,15,12,1,3,10,11,7,6,9,8",4,4,1,1.159860610961914,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_518.md
519,12864,68409,"12,10,1,11,14,3,13,5,2,6,8,15,7,0,9,4",13,13,1,1.1300430297851562,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_519.md
520,12865,68410,"1,6,4,13,9,0,14,3,12,10,11,8,5,2,7,15",5,5,1,1.1889960765838623,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_520.md
521,12866,68411,"7,5,11,13,10,0,12,3,9,14,15,2,8,6,4,1",5,5,1,1.1765317916870117,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_521.md
522,12867,68412,"7,9,5,11,6,8,15,0,13,14,3,10,1,2,4,12",7,7,1,1.1922175884246826,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_522.md
523,12868,68413,"0,15,12,14,11,10,2,8,7,6,3,13,4,9,5,1",0,0,1,1.2509703636169434,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_523.md
524,12869,68414,"0,6,12,11,15,5,4,14,2,13,3,1,10,8,9,7",0,0,1,1.1854515075683594,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_524.md
525,12870,68415,"10,12,7,9,11,14,4,15,2,0,6,1,3,8,5,13",9,9,1,1.079338788986206,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_525.md
526,12871,68416,"3,11,5,14,1,12,7,6,13,15,10,4,2,0,8,9",13,13,1,1.200526475906372,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_526.md
527,12872,68417,"9,8,14,3,11,15,12,4,6,10,1,0,13,2,7,5",11,11,1,1.2377307415008545,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_527.md
528,12873,68418,"7,1,3,2,13,4,0,15,8,6,14,9,5,10,12,11",6,6,1,1.0042099952697754,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_528.md
